Lap,Sim_TyreAge_StartOfLap,Sim_Compound,AI_Pace_Delta,AI_Pit_Prob,Action,Time_If_Stay_Out,Time_If_Box_Soft,Time_If_Box_Medium,Time_If_Box_Hard,SC_Risk_Prob,Color
1,1,MEDIUM,2.8527512550354004,0.00050740456,STAY OUT,168.21018981933594,,,,0.15185429010313803,#EBEB00
2,2,MEDIUM,2.8359646797180176,0.0007866447,STAY OUT,160.04257202148438,,,,0.15185429010313803,#EBEB00
3,3,MEDIUM,1.8513864278793335,0.0012188683,STAY OUT,151.89170837402344,,,,0.05850451930977814,#EBEB00
4,4,MEDIUM,1.2760581970214844,0.00880173,STAY OUT,147.99266052246094,,,,0.05850451930977814,#EBEB00
5,5,MEDIUM,1.2675001621246338,0.012110485,STAY OUT,144.6689453125,,,,0.05850451930977814,#EBEB00
6,6,MEDIUM,1.2475714683532715,0.016634246,STAY OUT,141.35379028320312,,,,0.0442093330814283,#EBEB00
7,7,MEDIUM,1.247907042503357,0.022754826,STAY OUT,138.5588836669922,,,,0.0442093330814283,#EBEB00
8,8,MEDIUM,1.2526507377624512,0.03105627,STAY OUT,135.76364135742188,150.9888153076172,,153.58050537109375,0.0442093330814283,#EBEB00
9,9,MEDIUM,1.2496371269226074,0.041902065,STAY OUT,132.9636688232422,147.77049255371094,,153.61013793945312,0.037152669372463316,#EBEB00
10,10,MEDIUM,1.2652398347854614,0.056002673,STAY OUT,130.4136962890625,144.6984405517578,,152.33657836914062,0.037152669372463316,#EBEB00
11,11,MEDIUM,1.2606785297393799,0.07242,STAY OUT,127.8481216430664,141.4764404296875,,156.28591918945312,0.037152669372463316,#EBEB00
12,12,MEDIUM,1.2570288181304932,0.09216138,STAY OUT,125.28710174560547,138.74929809570312,,157.0640411376953,0.025600282485875706,#EBEB00
13,13,MEDIUM,1.5562169551849365,0.057392336,STAY OUT,123.1340560913086,136.3787384033203,,150.76495361328125,0.025600282485875706,#EBEB00
14,14,MEDIUM,1.56574547290802,0.08765755,STAY OUT,120.68183135986328,133.82351684570312,,124.23097229003906,0.025600282485875706,#EBEB00
15,15,MEDIUM,1.5618891716003418,0.13131428,STAY OUT,118.2200698852539,131.21031188964844,,121.14427185058594,0.016358839050131926,#EBEB00
16,16,MEDIUM,1.5572303533554077,0.18688308,STAY OUT,116.08562469482422,128.96701049804688,,118.47954559326172,0.016358839050131926,#EBEB00
17,17,MEDIUM,1.5569305419921875,0.24926375,STAY OUT,113.9558334350586,127.10488891601562,,115.76329803466797,0.016358839050131926,#EBEB00
18,18,MEDIUM,1.5586308240890503,0.30621555,STAY OUT,111.82633972167969,125.64608001708984,,113.1162109375,0.04234997296810236,#EBEB00
19,19,MEDIUM,1.5447574853897095,0.41093266,STAY OUT,108.78546142578125,122.91059875488281,,109.7702407836914,0.04234997296810236,#EBEB00
20,20,MEDIUM,1.351208209991455,0.50415796,STAY OUT,105.75845336914062,120.2074966430664,,106.40011596679688,0.04234997296810236,#EBEB00
21,21,MEDIUM,1.3728386163711548,0.54666877,STAY OUT,102.52762603759766,117.88969421386719,,103.3484878540039,0.04727030625832224,#EBEB00
22,22,MEDIUM,1.3834174871444702,0.56832707,STAY OUT,99.16266632080078,114.97145080566406,,99.97303009033203,0.04727030625832224,#EBEB00
23,23,MEDIUM,1.5369023084640503,0.62452257,STAY OUT,95.70169830322266,112.14847564697266,,96.59748840332031,0.04727030625832224,#EBEB00
